user,year,frequency,fast_quality,CI,ultra_bullet_blitz_games_year,max_ultra_bullet_blitz_games_year,ultrabullet,bullet,blitz,rapid,total,user_id,rating_level,start_rating_year,end_rating_year,delta_elo_year,active_months_year
Obese_reece,2023,0.2863,0.3445,0.3154,2905,10148,3,635,2267,184,3089,Obese_reece,Intermedio,1596,1665,69,4
Obese_reece,2024,0.3136,0.4327,0.3732,3182,10148,3,1437,1742,25,3207,Obese_reece,Intermedio,1665,1713,48,8
Obese_reece,2025,0.2001,0.4187,0.3094,2031,10148,3,865,1163,49,2080,Obese_reece,Intermedio,1713,1742,29,4
purplechess64,2023,0.9854,0.6017,0.7935,10000,10148,74,9885,41,1,10001,purplechess64,Avanzato,1918,1912,-6,1
purplechess64,2024,0.4786,0.5999,0.5393,4857,10148,0,4856,1,0,4857,purplechess64,Avanzato,1912,1838,-74,2
purplechess64,2025,0.4269,0.6027,0.5148,4332,10148,41,4276,15,0,4332,purplechess64,Intermedio,1838,1730,-108,3
HluliM,2023,0.1665,0.2522,0.2094,1690,10148,0,56,1634,387,2077,HluliM,Intermedio,1657,1667,10,1
HluliM,2025,0.3677,0.4205,0.3941,3731,10148,0,1731,2000,166,3897,HluliM,Intermedio,1667,1570,-97,1
GomezDanielMx,2023,0.4639,0.541,0.5025,4708,10148,0,3797,911,8,4716,GomezDanielMx,Intermedio,1833,1669,-164,5
GomezDanielMx,2024,0.239,0.5902,0.4146,2425,10148,0,2346,79,0,2425,GomezDanielMx,Intermedio,1669,1630,-39,6
GomezDanielMx,2025,0.1934,0.5953,0.3943,1963,10148,0,1932,31,0,1963,GomezDanielMx,Intermedio,1630,1622,-8,3
talitoesterio,2023,0.2517,0.3646,0.3082,2554,10148,0,915,1639,300,2854,talitoesterio,Intermedio,1705,1751,46,4
talitoesterio,2024,0.1814,0.4306,0.306,1841,10148,0,1153,688,245,2086,talitoesterio,Intermedio,1751,1720,-31,3
Narek15,2023,0.1807,0.594,0.3874,1834,10148,0,1829,5,16,1850,Narek15,Beginner,1354,1459,105,5
Narek15,2024,0.4233,0.5969,0.5101,4296,10148,0,4291,5,20,4316,Narek15,Avanzato,1932,1710,-222,7
Narek15,2025,0.3016,0.5989,0.4503,3061,10148,0,3060,1,5,3066,Narek15,Intermedio,1710,1748,38,3
NicolaNigro,2023,0.0252,0.5168,0.271,256,10148,0,185,71,0,256,NicolaNigro,Avanzato,2014,2034,20,2
Eusekevin,2023,0.0168,0.0157,0.0162,170,10148,0,0,170,3088,3258,Eusekevin,Avanzato,1941,1906,-35,1
Eusekevin,2024,0.1021,0.0736,0.0879,1036,10148,0,0,1036,3184,4220,Eusekevin,Avanzato,1906,1877,-29,1
harshilsrome,2024,0.0112,0.5184,0.2648,114,10148,0,83,31,0,114,harshilsrome,Beginner,1100,1087,-13,1
harshilsrome,2025,0.0267,0.4395,0.2331,271,10148,0,126,145,0,271,harshilsrome,Beginner,1087,1153,66,4
Sultai,2023,0.4979,0.4887,0.4933,5053,10148,866,1346,2841,116,5169,Sultai,Intermedio,1548,1699,151,4
Sultai,2024,0.1205,0.4037,0.2621,1223,10148,66,425,732,116,1339,Sultai,Avanzato,1945,1992,47,5
Sultai,2025,0.0403,0.6534,0.3469,409,10148,243,76,90,74,483,Sultai,Avanzato,1992,1985,-7,3
Patoruzu9,2023,0.0007,0.0048,0.0027,7,10148,0,2,5,557,564,Patoruzu9,Intermedio,1743,1747,4,1
horacio-cadu,2023,0.3887,0.1378,0.2633,3945,10148,0,0,3945,4645,8590,horacio-cadu,Avanzato,1962,1947,-15,1
Skippyman,2023,0.4502,0.3033,0.3768,4569,10148,0,51,4518,0,4569,Skippyman,Avanzato,2065,1996,-69,1
Skippyman,2024,0.3909,0.3002,0.3455,3967,10148,0,2,3965,0,3967,Skippyman,Avanzato,1996,1920,-76,1
Skippyman,2025,0.1881,0.3,0.2441,1909,10148,0,0,1909,0,1909,Skippyman,Avanzato,1920,1892,-28,1
chesspinamar,2023,0.3465,0.3165,0.3315,3516,10148,0,227,3289,32,3548,chesspinamar,Intermedio,1653,1638,-15,2
chesspinamar,2024,0.1733,0.3124,0.2428,1759,10148,0,86,1673,13,1772,chesspinamar,Intermedio,1638,1667,29,3
chesspinamar,2025,0.2273,0.3046,0.2659,2307,10148,0,35,2272,0,2307,chesspinamar,Intermedio,1667,1633,-34,2
naron26,2023,0.215,0.3337,0.2744,2182,10148,0,261,1921,14,2196,naron26,Intermedio,1600,1565,-35,1
imaxwell,2024,0.116,0.1807,0.1483,1177,10148,0,0,1177,777,1954,imaxwell,Beginner,1092,1128,36,1
TheSparkCraft,2023,0.1655,0.3153,0.2404,1680,10148,0,689,991,574,2254,TheSparkCraft,Intermedio,1470,1517,47,1
TheSparkCraft,2024,0.3106,0.5698,0.4402,3152,10148,0,2905,247,37,3189,TheSparkCraft,Intermedio,1517,1503,-14,2
TheSparkCraft,2025,0.126,0.5054,0.3157,1279,10148,0,970,309,56,1335,TheSparkCraft,Intermedio,1503,1532,29,1
Maryse-EPL,2023,0.2223,0.2979,0.2601,2256,10148,0,0,2256,16,2272,Maryse-EPL,Beginner,1322,1284,-38,4
Maryse-EPL,2024,0.1426,0.2998,0.2212,1447,10148,0,0,1447,1,1448,Maryse-EPL,Beginner,1284,1257,-27,6
Maryse-EPL,2025,0.1872,0.3,0.2436,1900,10148,0,0,1900,0,1900,Maryse-EPL,Beginner,1257,1223,-34,5
Irian-Jaya,2023,0.1374,0.5998,0.3686,1394,10148,0,1393,1,0,1394,Irian-Jaya,Intermedio,1445,1447,2,2
Irian-Jaya,2024,0.0281,0.5054,0.2668,285,10148,0,212,73,10,295,Irian-Jaya,Intermedio,1447,1472,25,2
Irian-Jaya,2025,0.2845,0.5937,0.4391,2887,10148,0,2832,55,3,2890,Irian-Jaya,Intermedio,1472,1487,15,2
SebaSaez3,2023,0.1779,0.4051,0.2915,1805,10148,0,1025,780,291,2096,SebaSaez3,Beginner,1192,1229,37,1
SebaSaez3,2024,0.2335,0.4525,0.343,2370,10148,0,1262,1108,38,2408,SebaSaez3,Beginner,1229,1150,-79,2
SebaSaez3,2025,0.1156,0.4325,0.274,1173,10148,0,521,652,2,1175,SebaSaez3,Beginner,1150,1120,-30,2
PADILLON,2023,0.1134,0.3,0.2067,1151,10148,0,0,1151,0,1151,PADILLON,Avanzato,2081,2065,-16,1
Thunder2021,2024,0.7868,0.3204,0.5536,7984,10148,0,542,7442,0,7984,Thunder2021,Intermedio,1823,1810,-13,1
Kaspesky98,2023,0.0833,0.5723,0.3278,845,10148,0,767,78,0,845,Kaspesky98,Intermedio,1810,1796,-14,1
gmgattass,2023,0.2081,0.3182,0.2632,2112,10148,0,128,1984,0,2112,gmgattass,Master,2246,2225,-21,3
gmgattass,2024,0.3762,0.3338,0.355,3818,10148,0,449,3369,17,3835,gmgattass,Avanzato,2193,2193,0,2
gmgattass,2025,0.9834,0.2997,0.6416,9980,10148,0,0,9980,10,9990,gmgattass,Avanzato,2187,2178,-9,3
alram1992,2023,0.3534,0.5994,0.4764,3586,10148,0,3585,1,3,3589,alram1992,Intermedio,1528,1532,4,2
alram1992,2024,0.1934,0.5837,0.3886,1963,10148,0,1932,31,39,2002,alram1992,Intermedio,1532,1530,-2,1
alram1992,2025,0.1332,0.585,0.3591,1352,10148,0,1347,5,32,1384,alram1992,Intermedio,1530,1513,-17,1
andrbind,2023,0.4672,0.3,0.3836,4741,10148,0,0,4741,0,4741,andrbind,Intermedio,1852,1836,-16,2
andrbind,2024,0.5461,0.3764,0.4613,5542,10148,0,1412,4130,0,5542,andrbind,Intermedio,1836,1840,4,1
andrbind,2025,0.2642,0.3,0.2821,2681,10148,0,0,2681,0,2681,andrbind,Intermedio,1840,1830,-10,1
cldng,2023,0.2508,0.4862,0.3685,2545,10148,0,1588,957,5,2550,cldng,Avanzato,1985,1934,-51,1
cldng,2024,0.2615,0.5519,0.4067,2654,10148,0,2238,416,5,2659,cldng,Avanzato,1934,1880,-54,5
cldng,2025,0.2029,0.3764,0.2897,2059,10148,0,556,1503,25,2084,cldng,Intermedio,1880,1852,-28,3
Corazonaguara,2024,0.178,0.5806,0.3793,1806,10148,0,1691,115,1,1807,Corazonaguara,Avanzato,1942,1942,0,1
Coquito06,2023,0.2944,0.4851,0.3898,2988,10148,68,2012,908,202,3190,Coquito06,Avanzato,2051,2064,13,3
Coquito06,2024,0.8573,0.3935,0.6254,8700,10148,49,3128,5523,404,9104,Coquito06,Avanzato,2064,2088,24,1
Coquito06,2025,0.5932,0.3895,0.4913,6020,10148,25,2369,3626,487,6507,Coquito06,Avanzato,2088,2093,5,1
moi431,2023,0.0397,0.5993,0.3195,403,10148,0,402,1,0,403,moi431,Beginner,1366,1351,-15,2
Angbatil,2024,0.8885,0.3,0.5942,9016,10148,0,2,9014,2,9018,Angbatil,Master,2284,2268,-16,1
Angbatil,2025,0.5216,0.3,0.4108,5293,10148,0,0,5293,0,5293,Angbatil,Master,2268,2262,-6,2
Teachercoachbatil,2023,0.3906,0.3027,0.3467,3964,10148,0,956,3008,912,4876,Teachercoachbatil,Intermedio,1638,1652,14,1
Teachercoachbatil,2024,0.9693,0.3454,0.6573,9836,10148,0,1753,8083,231,10067,Teachercoachbatil,Intermedio,1652,1605,-47,1
AdamIsmail,2025,0.5756,0.6063,0.591,5841,10148,109,5710,22,0,5841,AdamIsmail,Intermedio,1560,1647,87,1
Dr-Lam98,2023,0.2058,0.3294,0.2676,2088,10148,0,353,1735,135,2223,Dr-Lam98,Intermedio,1671,1651,-20,1
Dr-Lam98,2024,0.1321,0.2793,0.2057,1341,10148,0,20,1321,121,1462,Dr-Lam98,Intermedio,1651,1592,-59,2
AAponte,2025,0.4938,0.577,0.5354,5011,10148,0,4626,385,0,5011,AAponte,Avanzato,2080,2074,-6,1
Aiskandar,2024,0.0995,0.4538,0.2767,1010,10148,0,769,241,166,1176,Aiskandar,Beginner,1343,1407,64,1
chramirezb,2023,0.5858,0.6,0.5929,5945,10148,0,5945,0,0,5945,chramirezb,Master,2229,2189,-40,2
chramirezb,2024,0.5739,0.6,0.587,5824,10148,0,5824,0,0,5824,chramirezb,Avanzato,2189,2120,-69,9
chramirezb,2025,0.3642,0.5998,0.482,3696,10148,0,3696,0,1,3697,chramirezb,Avanzato,2120,2135,15,4
vidipkumarkona,2023,0.0623,0.646,0.3542,632,10148,303,233,96,98,730,vidipkumarkona,Intermedio,1790,1869,79,5
vidipkumarkona,2024,0.1191,0.6378,0.3785,1209,10148,531,607,71,228,1437,vidipkumarkona,Avanzato,2095,2095,0,7
vidipkumarkona,2025,0.098,0.6038,0.3509,994,10148,456,329,209,192,1186,vidipkumarkona,Avanzato,2084,2145,61,7
PetroffMagic,2023,0.0648,0.2561,0.1605,658,10148,0,1,657,114,772,PetroffMagic,Avanzato,2095,2096,1,2
PetroffMagic,2024,0.1629,0.2765,0.2197,1653,10148,0,4,1649,145,1798,PetroffMagic,Avanzato,2096,2058,-38,6
PetroffMagic,2025,0.1303,0.2812,0.2057,1322,10148,0,6,1316,95,1417,PetroffMagic,Avanzato,2058,2025,-33,4
NikolayIvanchikov,2023,0.4196,0.3,0.3598,4258,10148,0,0,4258,0,4258,NikolayIvanchikov,Beginner,1270,1325,55,1
FedirBohatyrchuk1892,2023,0.1977,0.9988,0.5982,2006,10148,2002,1,3,0,2006,FedirBohatyrchuk1892,Avanzato,2136,2142,6,3
FedirBohatyrchuk1892,2024,0.4066,0.7577,0.5821,4126,10148,2474,527,1125,2,4128,FedirBohatyrchuk1892,Avanzato,2142,2235,93,2
rpm198,2023,0.4437,0.3,0.3719,4503,10148,0,0,4503,0,4503,rpm198,Avanzato,2082,2049,-33,7
rpm198,2024,0.4875,0.3,0.3937,4947,10148,0,0,4947,0,4947,rpm198,Avanzato,2049,2096,47,4
rpm198,2025,0.268,0.3037,0.2859,2720,10148,0,34,2686,0,2720,rpm198,Avanzato,2096,2062,-34,1
Cyprianophobic78,2023,0.2089,0.3,0.2545,2120,10148,0,0,2120,0,2120,Cyprianophobic78,Intermedio,1602,1566,-36,1
Cyprianophobic78,2024,0.3402,0.3,0.3201,3452,10148,0,0,3452,0,3452,Cyprianophobic78,Intermedio,1566,1578,12,1
Cyprianophobic78,2025,0.3159,0.3,0.308,3206,10148,0,0,3206,0,3206,Cyprianophobic78,Intermedio,1578,1558,-20,1
Knightmare1313,2024,0.1355,0.322,0.2288,1375,10148,0,102,1273,1,1376,Knightmare1313,Beginner,1344,1258,-86,2
Knightmare1313,2025,0.0938,0.2984,0.1961,952,10148,0,0,952,5,957,Knightmare1313,Beginner,1258,1240,-18,3
kevin6765,2023,0.3789,0.3038,0.3414,3845,10148,0,143,3702,93,3938,kevin6765,Intermedio,1682,1724,42,3
kevin6765,2024,0.4887,0.3144,0.4015,4959,10148,0,383,4576,139,5098,kevin6765,Intermedio,1724,1667,-57,1
dvaldez,2025,0.2355,0.5554,0.3955,2390,10148,0,2035,355,0,2390,dvaldez,Intermedio,1587,1710,123,2
Steiger,2023,0.2918,0.3009,0.2963,2961,10148,0,15,2946,6,2967,Steiger,Intermedio,1846,1902,56,5
Steiger,2024,0.2857,0.2998,0.2927,2899,10148,0,0,2899,2,2901,Steiger,Avanzato,1902,1902,0,4
Steiger,2025,0.1859,0.3,0.243,1887,10148,0,1,1886,1,1888,Steiger,Intermedio,1890,1877,-13,1
RAG0406,2024,0.1499,0.5687,0.3593,1521,10148,0,1368,153,3,1524,RAG0406,Avanzato,2174,2177,3,2
tolga48,2024,0.176,0.2988,0.2374,1786,10148,0,1,1785,8,1794,tolga48,Intermedio,1486,1492,6,1
michaelskie11,2023,0.0229,0.376,0.1994,232,10148,0,60,172,1,233,michaelskie11,Avanzato,2091,2087,-4,4
michaelskie11,2024,0.008,0.5667,0.2873,81,10148,0,72,9,0,81,michaelskie11,Avanzato,2087,2095,8,3
hykaruz,2023,0.0486,0.3,0.1743,493,10148,0,0,493,0,493,hykaruz,Intermedio,1400,1426,26,1
Jomajo,2024,0.2962,0.3033,0.2998,3006,10148,0,33,2973,0,3006,Jomajo,Master,2363,2352,-11,2
Jomajo,2025,0.2437,0.3,0.2718,2473,10148,0,0,2473,0,2473,Jomajo,Master,2352,2347,-5,1
Kerbebos,2024,0.3067,0.3195,0.3131,3112,10148,19,176,2917,17,3129,Kerbebos,Intermedio,1729,1873,144,4
Kerbebos,2025,0.216,0.3094,0.2627,2192,10148,0,71,2121,2,2194,Kerbebos,Avanzato,1923,1923,0,1
Lazarinho99,2023,0.3898,0.3664,0.3781,3956,10148,0,875,3081,0,3956,Lazarinho99,Intermedio,1860,1822,-38,4
Lazarinho99,2024,0.4017,0.4094,0.4055,4076,10148,0,1489,2587,2,4078,Lazarinho99,Intermedio,1822,1803,-19,7
Lazarinho99,2025,0.3258,0.4827,0.4042,3306,10148,4,2004,1298,0,3306,Lazarinho99,Intermedio,1803,1798,-5,6
Ariel_Martinez,2023,0.2001,0.3009,0.2505,2031,10148,0,9,2022,3,2034,Ariel_Martinez,Avanzato,2121,2145,24,6
Ariel_Martinez,2024,0.6646,0.2992,0.4819,6744,10148,0,6,6738,25,6769,Ariel_Martinez,Avanzato,2145,2103,-42,7
Ariel_Martinez,2025,0.5178,0.3001,0.4089,5255,10148,0,1,5254,0,5255,Ariel_Martinez,Avanzato,2103,2138,35,4
Palito2016,2023,0.2024,0.2884,0.2454,2054,10148,0,138,1916,226,2280,Palito2016,Intermedio,1656,1702,46,2
Palito2016,2024,0.0647,0.2573,0.161,657,10148,0,5,652,115,772,Palito2016,Intermedio,1702,1602,-100,3
Palito2016,2025,0.0896,0.2723,0.1809,909,10148,0,6,903,99,1008,Palito2016,Intermedio,1602,1562,-40,3
berlinerbolle,2024,0.0004,0.0004,0.0004,4,10148,0,0,4,3057,3061,berlinerbolle,Beginner,1236,1217,-19,1
Bntary007,2023,0.9844,0.3,0.6422,9990,10148,0,0,9990,1,9991,Bntary007,Intermedio,1811,1824,13,1
Bntary007,2024,0.88,0.2993,0.5896,8930,10148,0,1,8929,22,8952,Bntary007,Intermedio,1824,1813,-11,1
Bntary007,2025,0.4114,0.2972,0.3543,4175,10148,0,0,4175,39,4214,Bntary007,Intermedio,1813,1745,-68,1
faresanta,2023,0.0112,0.1606,0.0859,114,10148,0,0,114,99,213,faresanta,Intermedio,1609,1620,11,1
faresanta,2024,0.0126,0.2176,0.1151,128,10148,0,4,124,54,182,faresanta,Intermedio,1620,1598,-22,1
subkat,2023,0.0367,0.6,0.3183,372,10148,0,372,0,0,372,subkat,Avanzato,2171,2171,0,1
subkat,2024,0.0257,0.6,0.3129,261,10148,0,261,0,0,261,subkat,Avanzato,2171,2144,-27,3
Kabral71,2023,0.6933,0.5917,0.6425,7036,10148,0,6872,164,16,7052,Kabral71,Avanzato,1963,1977,14,4
Kabral71,2024,0.5775,0.5956,0.5866,5860,10148,0,5775,85,0,5860,Kabral71,Avanzato,1977,1988,11,3
Schluckauf,2023,0.8139,0.5964,0.7051,8259,10148,0,8159,100,0,8259,Schluckauf,Avanzato,2079,2083,4,7
Schluckauf,2024,0.858,0.3745,0.6163,8707,10148,0,2163,6544,0,8707,Schluckauf,Avanzato,2083,2023,-60,8
Schluckauf,2025,0.7432,0.3,0.5216,7542,10148,0,4,7538,3,7545,Schluckauf,Avanzato,2023,2035,12,4
AAashraf,2023,0.0112,0.3237,0.1675,114,10148,0,9,105,0,114,AAashraf,Intermedio,1838,1731,-107,2
emp4,2023,0.4162,0.5955,0.5058,4224,10148,0,4166,58,3,4227,emp4,Intermedio,1759,1745,-14,1
Sale_Serbia,2023,0.0426,0.2299,0.1362,432,10148,0,1,431,133,565,Sale_Serbia,Beginner,1221,1196,-25,3
el_perro_orfeo,2023,0.5536,0.4578,0.5057,5618,10148,89,3494,2035,489,6107,el_perro_orfeo,Intermedio,1588,1509,-79,3
el_perro_orfeo,2024,0.5198,0.5161,0.518,5275,10148,2,4293,980,289,5564,el_perro_orfeo,Intermedio,1509,1568,59,1
el_perro_orfeo,2025,0.5519,0.5337,0.5428,5601,10148,0,4616,985,142,5743,el_perro_orfeo,Intermedio,1568,1557,-11,2
CarlosBarreto,2023,0.0001,0.0002,0.0001,1,10148,0,0,1,1698,1699,CarlosBarreto,Intermedio,1710,1690,-20,3
CarlosBarreto,2024,0.0005,0.0022,0.0014,5,10148,0,4,1,1208,1213,CarlosBarreto,Intermedio,1690,1693,3,2
CarlosBarreto,2025,0.007,0.0315,0.0193,71,10148,0,3,68,633,704,CarlosBarreto,Intermedio,1693,1693,0,1
param00,2023,0.0967,0.2991,0.1979,981,10148,0,0,981,3,984,param00,Beginner,1302,1341,39,2
param00,2024,0.1697,0.2998,0.2348,1722,10148,0,0,1722,1,1723,param00,Beginner,1341,1373,32,2
param00,2025,0.0709,0.3,0.1854,719,10148,0,0,719,0,719,param00,Beginner,1373,1387,14,1
FRAM3D_T,2023,0.6451,0.3346,0.4898,6546,10148,0,861,5685,96,6642,FRAM3D_T,Beginner,1271,1451,180,2
FRAM3D_T,2024,0.3574,0.3036,0.3305,3627,10148,0,68,3559,24,3651,FRAM3D_T,Intermedio,1451,1643,192,4
FRAM3D_T,2025,0.1253,0.3244,0.2249,1272,10148,0,111,1161,7,1279,FRAM3D_T,Intermedio,1643,1722,79,4
MatanSon17,2025,0.1806,0.5899,0.3852,1833,10148,0,1773,60,1,1834,MatanSon17,Intermedio,1727,1707,-20,1
Osiel09,2023,0.2583,0.4805,0.3694,2621,10148,17,1678,926,88,2709,Osiel09,Intermedio,1889,1857,-32,1
